epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,26355,0.11244,0.83517,0.00442,0.70024,0.72887,0.78338,0.7799,0.17302,1.36012,0.00742,6.32485e-05,6.32485e-05,6.32485e-05
91,26650.9,0.11761,0.83081,0.00463,0.74207,0.6928,0.78573,0.78219,0.17719,1.33094,0.00762,6.1285e-05,6.1285e-05,6.1285e-05
92,26943.2,0.12389,0.82633,0.005,0.73082,0.68914,0.78239,0.77882,0.16837,1.3261,0.00721,5.93215e-05,5.93215e-05,5.93215e-05
93,27257,0.11202,0.79204,0.00439,0.71212,0.71534,0.77907,0.77595,0.17203,1.34045,0.00736,5.7358e-05,5.7358e-05,5.7358e-05
94,27624,0.11081,0.79734,0.0044,0.69985,0.72708,0.78412,0.78105,0.1561,1.32016,0.00662,5.53945e-05,5.53945e-05,5.53945e-05
95,27982.5,0.11385,0.78175,0.00453,0.71841,0.72432,0.79362,0.79058,0.16445,1.31128,0.00702,5.3431e-05,5.3431e-05,5.3431e-05
96,28352.7,0.11623,0.77435,0.00459,0.70239,0.71418,0.78443,0.78124,0.16742,1.32527,0.00717,5.14675e-05,5.14675e-05,5.14675e-05
97,28709.3,0.11582,0.75121,0.00463,0.74009,0.67661,0.78171,0.77853,0.1636,1.30802,0.00699,4.9504e-05,4.9504e-05,4.9504e-05
98,29078.2,0.11678,0.76768,0.00459,0.73755,0.6931,0.78754,0.78415,0.16155,1.2989,0.0069,4.75405e-05,4.75405e-05,4.75405e-05
99,29458.1,0.11004,0.77071,0.00433,0.75724,0.68504,0.79312,0.78972,0.16811,1.27575,0.00719,4.5577e-05,4.5577e-05,4.5577e-05
100,29800.4,0.12204,0.7605,0.00497,0.73437,0.6888,0.79435,0.79022,0.18549,1.28346,0.00798,4.36135e-05,4.36135e-05,4.36135e-05
101,30125.2,0.12201,0.74047,0.00491,0.72852,0.69524,0.7911,0.78798,0.16051,1.26056,0.00687,4.165e-05,4.165e-05,4.165e-05
102,30449.3,0.11235,0.75699,0.00441,0.71423,0.7025,0.79182,0.78916,0.15701,1.25646,0.00668,3.96865e-05,3.96865e-05,3.96865e-05
103,30775.7,0.11324,0.75107,0.00455,0.71512,0.70929,0.79118,0.78852,0.15741,1.24851,0.00673,3.7723e-05,3.7723e-05,3.7723e-05
104,31112.9,0.11644,0.75226,0.00478,0.71962,0.71805,0.79533,0.79223,0.15767,1.26091,0.00673,3.57595e-05,3.57595e-05,3.57595e-05
105,31445.2,0.11835,0.73182,0.00478,0.72923,0.70495,0.79681,0.79234,0.17731,1.26665,0.00762,3.3796e-05,3.3796e-05,3.3796e-05
106,31772.6,0.11583,0.76506,0.00467,0.70344,0.71779,0.79031,0.78711,0.15983,1.26408,0.00684,3.18325e-05,3.18325e-05,3.18325e-05
107,32102.5,0.10688,0.72344,0.00419,0.71188,0.71334,0.79223,0.78924,0.15905,1.25416,0.0068,2.9869e-05,2.9869e-05,2.9869e-05
108,32398,0.11092,0.733,0.00442,0.73479,0.69616,0.78894,0.78584,0.16541,1.24539,0.00708,2.79055e-05,2.79055e-05,2.79055e-05
109,32727.4,0.10703,0.72887,0.00426,0.69961,0.73163,0.78967,0.7863,0.15734,1.23822,0.0067,2.5942e-05,2.5942e-05,2.5942e-05
110,33082.3,0.10888,0.71291,0.0043,0.71662,0.71952,0.79027,0.78693,0.15898,1.23199,0.0068,2.39785e-05,2.39785e-05,2.39785e-05
111,33424.8,0.10476,0.71585,0.00411,0.70668,0.70496,0.79035,0.78714,0.16731,1.23552,0.00716,2.2015e-05,2.2015e-05,2.2015e-05
112,33766.3,0.10585,0.72735,0.00409,0.68168,0.74929,0.79006,0.78691,0.15134,1.23992,0.00645,2.00515e-05,2.00515e-05,2.00515e-05
113,34116.2,0.10594,0.717,0.00417,0.70651,0.73259,0.79387,0.79073,0.1638,1.23493,0.00702,1.8088e-05,1.8088e-05,1.8088e-05
114,34467.4,0.10643,0.7024,0.00416,0.729,0.71195,0.79177,0.78856,0.15681,1.23039,0.0067,1.61245e-05,1.61245e-05,1.61245e-05
115,34844.6,0.10767,0.70196,0.00418,0.72351,0.71382,0.79148,0.78827,0.16113,1.23006,0.0069,1.4161e-05,1.4161e-05,1.4161e-05
116,35211.3,0.10137,0.72758,0.00404,0.70149,0.74011,0.79432,0.79114,0.15343,1.22364,0.00654,1.21975e-05,1.21975e-05,1.21975e-05
117,35561.7,0.10314,0.71455,0.00403,0.75462,0.68739,0.79187,0.78872,0.15935,1.22225,0.00681,1.0234e-05,1.0234e-05,1.0234e-05
118,35884.8,0.10079,0.70049,0.00397,0.70212,0.73299,0.79199,0.78869,0.15587,1.20932,0.00666,8.2705e-06,8.2705e-06,8.2705e-06
119,36200.9,0.10109,0.71858,0.004,0.75699,0.68229,0.79502,0.79191,0.15339,1.2075,0.00655,6.307e-06,6.307e-06,6.307e-06
120,36516.7,0.10169,0.71979,0.00397,0.70456,0.72212,0.79485,0.7914,0.1597,1.21986,0.00683,4.3435e-06,4.3435e-06,4.3435e-06
